,ccaa_iso,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida
389,EX,2020-02-20,1,0,1,0,0
390,GA,2020-02-20,3,3,0,0,0
391,IB,2020-02-20,1,0,1,0,0
392,MC,2020-02-20,0,0,0,0,0
393,MD,2020-02-20,23,23,0,0,0
394,ML,2020-02-20,0,0,0,0,0
395,NC,2020-02-20,1,0,1,0,0
396,PV,2020-02-20,1,1,0,0,0
397,RI,2020-02-20,0,0,0,0,0
398,VC,2020-02-20,6,3,3,0,0
399,AN,2020-02-21,5,4,1,0,0
400,AR,2020-02-21,2,2,0,0,0
401,AS,2020-02-21,0,0,0,0,0
402,CB,2020-02-21,0,0,0,0,0
403,CE,2020-02-21,0,0,0,0,0
404,CL,2020-02-21,5,3,2,0,0
405,CM,2020-02-21,0,0,0,0,0
406,CN,2020-02-21,0,0,0,0,0
407,CT,2020-02-21,15,13,0,0,2
408,EX,2020-02-21,1,0,1,0,0
409,GA,2020-02-21,0,0,0,0,0
410,IB,2020-02-21,0,0,0,0,0
411,MC,2020-02-21,0,0,0,0,0
412,MD,2020-02-21,27,27,0,0,0
413,ML,2020-02-21,0,0,0,0,0
414,NC,2020-02-21,2,1,1,0,0
415,PV,2020-02-21,3,3,0,0,0
416,RI,2020-02-21,1,1,0,0,0
417,VC,2020-02-21,3,2,1,0,0
418,AN,2020-02-22,2,2,0,0,0
419,AR,2020-02-22,3,3,0,0,0
420,AS,2020-02-22,0,0,0,0,0
421,CB,2020-02-22,0,0,0,0,0
422,CE,2020-02-22,0,0,0,0,0
423,CL,2020-02-22,2,2,0,0,0
424,CM,2020-02-22,0,0,0,0,0
425,CN,2020-02-22,0,0,0,0,0
426,CT,2020-02-22,11,9,0,0,2
427,EX,2020-02-22,0,0,0,0,0
428,GA,2020-02-22,3,2,1,0,0
429,IB,2020-02-22,0,0,0,0,0
430,MC,2020-02-22,1,1,0,0,0
431,MD,2020-02-22,30,30,0,0,0
432,ML,2020-02-22,0,0,0,0,0
433,NC,2020-02-22,1,1,0,0,0
434,PV,2020-02-22,4,4,0,0,0
435,RI,2020-02-22,0,0,0,0,0
436,VC,2020-02-22,2,2,0,0,0
437,AN,2020-02-23,2,2,0,0,0
438,AR,2020-02-23,1,1,0,0,0
439,AS,2020-02-23,1,1,0,0,0
440,CB,2020-02-23,1,1,0,0,0
441,CE,2020-02-23,0,0,0,0,0
442,CL,2020-02-23,5,4,1,0,0
443,CM,2020-02-23,0,0,0,0,0
444,CN,2020-02-23,2,2,0,0,0
445,CT,2020-02-23,8,6,0,0,2
446,EX,2020-02-23,0,0,0,0,0
447,GA,2020-02-23,0,0,0,0,0
448,IB,2020-02-23,0,0,0,0,0
449,MC,2020-02-23,1,1,0,0,0
450,MD,2020-02-23,44,44,0,0,0
451,ML,2020-02-23,0,0,0,0,0
452,NC,2020-02-23,1,1,0,0,0
453,PV,2020-02-23,1,1,0,0,0
454,RI,2020-02-23,1,1,0,0,0
455,VC,2020-02-23,5,5,0,0,0
456,AN,2020-02-24,5,5,0,0,0
457,AR,2020-02-24,1,1,0,0,0
458,AS,2020-02-24,0,0,0,0,0
459,CB,2020-02-24,0,0,0,0,0
460,CE,2020-02-24,0,0,0,0,0
461,CL,2020-02-24,5,4,1,0,0
462,CM,2020-02-24,4,0,0,0,4
463,CN,2020-02-24,0,0,0,0,0
464,CT,2020-02-24,14,9,0,0,5
465,EX,2020-02-24,0,0,0,0,0
466,GA,2020-02-24,1,1,0,0,0
467,IB,2020-02-24,0,0,0,0,0
468,MC,2020-02-24,2,1,1,0,0
469,MD,2020-02-24,57,57,0,0,0
470,ML,2020-02-24,0,0,0,0,0
471,NC,2020-02-24,3,3,0,0,0
472,PV,2020-02-24,6,6,0,0,0
473,RI,2020-02-24,2,2,0,0,0
474,VC,2020-02-24,15,13,2,0,0
475,AN,2020-02-25,9,9,0,0,0
476,AR,2020-02-25,2,2,0,0,0
477,AS,2020-02-25,1,1,0,0,0
478,CB,2020-02-25,8,8,0,0,0
479,CE,2020-02-25,0,0,0,0,0
480,CL,2020-02-25,6,5,1,0,0
481,CM,2020-02-25,4,1,0,0,3
482,CN,2020-02-25,2,1,0,0,1
483,CT,2020-02-25,21,17,0,1,3
484,EX,2020-02-25,5,2,3,0,0
485,GA,2020-02-25,3,2,0,0,1
486,IB,2020-02-25,0,0,0,0,0
487,MC,2020-02-25,3,1,2,0,0
488,MD,2020-02-25,51,50,0,0,1
489,ML,2020-02-25,0,0,0,0,0
490,NC,2020-02-25,4,2,2,0,0
491,PV,2020-02-25,12,11,0,0,1
492,RI,2020-02-25,2,2,0,0,0
493,VC,2020-02-25,10,8,2,0,0
494,AN,2020-02-26,9,9,0,0,0
495,AR,2020-02-26,2,2,0,0,0
496,AS,2020-02-26,0,0,0,0,0
497,CB,2020-02-26,0,0,0,0,0
498,CE,2020-02-26,0,0,0,0,0
499,CL,2020-02-26,8,7,1,0,0
500,CM,2020-02-26,5,2,0,0,3
501,CN,2020-02-26,7,7,0,0,0
502,CT,2020-02-26,31,20,0,0,11
503,EX,2020-02-26,1,0,1,0,0
504,GA,2020-02-26,3,3,0,0,0
505,IB,2020-02-26,1,0,1,0,0
506,MC,2020-02-26,1,0,1,0,0
507,MD,2020-02-26,70,70,0,0,0
508,ML,2020-02-26,0,0,0,0,0
509,NC,2020-02-26,5,2,3,0,0
510,PV,2020-02-26,11,11,0,0,0
511,RI,2020-02-26,4,4,0,0,0
512,VC,2020-02-26,9,8,1,0,0
513,AN,2020-02-27,11,7,4,0,0
514,AR,2020-02-27,0,0,0,0,0
515,AS,2020-02-27,0,0,0,0,0
516,CB,2020-02-27,0,0,0,0,0
517,CE,2020-02-27,0,0,0,0,0
518,CL,2020-02-27,7,6,1,0,0
519,CM,2020-02-27,9,2,0,0,7
520,CN,2020-02-27,1,1,0,0,0
521,CT,2020-02-27,15,12,0,0,3
522,EX,2020-02-27,3,1,2,0,0
523,GA,2020-02-27,7,7,0,0,0
524,IB,2020-02-27,4,4,0,0,0
525,MC,2020-02-27,1,1,0,0,0
526,MD,2020-02-27,96,96,0,0,0
527,ML,2020-02-27,0,0,0,0,0
528,NC,2020-02-27,5,4,1,0,0
529,PV,2020-02-27,14,13,0,0,1
530,RI,2020-02-27,9,8,1,0,0
531,VC,2020-02-27,15,15,0,0,0
532,AN,2020-02-28,8,7,1,0,0
533,AR,2020-02-28,3,3,0,0,0
534,AS,2020-02-28,1,1,0,0,0
535,CB,2020-02-28,0,0,0,0,0
536,CE,2020-02-28,0,0,0,0,0
537,CL,2020-02-28,11,8,3,0,0
538,CM,2020-02-28,11,4,1,0,6
539,CN,2020-02-28,8,7,0,0,1
540,CT,2020-02-28,35,28,0,1,6
541,EX,2020-02-28,8,4,3,0,1
542,GA,2020-02-28,6,6,0,0,0
543,IB,2020-02-28,4,1,0,0,3
544,MC,2020-02-28,3,1,2,0,0
545,MD,2020-02-28,162,161,0,0,1
546,ML,2020-02-28,0,0,0,0,0
547,NC,2020-02-28,3,2,1,0,0
548,PV,2020-02-28,33,31,0,0,2
549,RI,2020-02-28,10,10,0,0,0
550,VC,2020-02-28,28,22,5,0,1
551,AN,2020-02-29,9,8,1,0,0
552,AR,2020-02-29,6,6,0,0,0
553,AS,2020-02-29,2,2,0,0,0
554,CB,2020-02-29,1,1,0,0,0
555,CE,2020-02-29,0,0,0,0,0
556,CL,2020-02-29,10,10,0,0,0
