,ccaa_iso,fecha,casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida,ccaa_nombre,ocio,compra,parques,transporte,trabajo,residencial,reuniones,host_int,host_ext,aforo_comercial,ocio_nocturno,Pob,Sup,Densidad
100,ES-CL,2020-02-05,1,1,0,0,0,Castilla y León,1.0,3.0,24.0,11.0,3.0,-2.0,100,1.0,1.0,1.0,1.0,2399548.0,93874.95,25.561110818168213
101,ES-CM,2020-02-05,0,0,0,0,0,Castilla - La Mancha,4.0,1.0,29.0,9.0,3.0,-1.0,100,1.0,1.0,1.0,1.0,2032863.0,79406.77,25.600625740097474
102,ES-CN,2020-02-05,0,0,0,0,0,Canarias,-1.0,-2.0,-7.0,3.0,1.0,0.0,100,1.0,1.0,1.0,1.0,2153389.0,7445.1,289.2357389423916
103,ES-CT,2020-02-05,2,2,0,0,0,Cataluña,1.0,1.0,11.0,4.0,2.0,0.0,100,1.0,1.0,1.0,1.0,7675217.0,32109.05,239.0359415803333
104,ES-EX,2020-02-05,0,0,0,0,0,Extremadura,2.0,2.0,16.0,9.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,1067710.0,41635.33,25.64432658513815
105,ES-GA,2020-02-05,1,0,0,0,1,Galicia,2.0,3.0,19.0,9.0,3.0,-2.0,100,1.0,1.0,1.0,1.0,2699499.0,29576.44,91.27193806962569
106,ES-IB,2020-02-05,0,0,0,0,0,Illes Balears,3.0,2.0,22.0,8.0,5.0,-1.0,100,1.0,1.0,1.0,1.0,1149460.0,4991.71,230.2737939503697
107,ES-MC,2020-02-05,2,0,2,0,0,Murcia,0.0,-1.0,8.0,7.0,3.0,-1.0,100,1.0,1.0,1.0,1.0,1493898.0,11313.87,132.04129091106756
108,ES-MD,2020-02-05,4,4,0,0,0,Comunidad de Madrid,-2.0,1.0,18.0,3.0,3.0,-1.0,100,1.0,1.0,1.0,1.0,6663394.0,8021.6,830.6814101924803
109,ES-ML,2020-02-05,0,0,0,0,0,Melilla,-5.0,-3.0,-2.0,8.5,1.0,0.0,100,1.0,1.0,1.0,1.0,86487.0,14.24,6073.525280898876
110,ES-NC,2020-02-05,0,0,0,0,0,Comunidad Foral de Navarra,3.0,2.0,24.0,-37.0,4.0,-2.0,100,1.0,1.0,1.0,1.0,654214.0,9801.01,66.74965131144647
111,ES-PV,2020-02-05,0,0,0,0,0,País Vasco,2.0,0.0,6.0,7.0,3.0,-1.0,100,1.0,1.0,1.0,1.0,2207776.0,7091.91,311.30908316659406
112,ES-RI,2020-02-05,0,0,0,0,0,La Rioja,6.0,3.0,34.0,8.0,4.0,-2.0,100,1.0,1.0,1.0,1.0,316798.0,5027.69,63.0106470367107
113,ES-VC,2020-02-05,3,0,3,0,0,Comunitat Valenciana,0.0,-1.0,14.0,5.0,2.0,0.0,100,1.0,1.0,1.0,1.0,5003769.0,23261.91,215.10568134774832
114,ES-AN,2020-02-06,2,1,1,0,0,Andalucía,3.0,0.0,14.0,11.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381
115,ES-AR,2020-02-06,1,1,0,0,0,Aragón,1.0,2.0,45.0,5.0,1.0,-2.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103
116,ES-AS,2020-02-06,0,0,0,0,0,Principado de Asturias,2.0,-1.0,18.0,5.0,-10.0,0.0,100,1.0,1.0,1.0,1.0,1022800.0,10597.42,96.51405719505314
117,ES-CB,2020-02-06,0,0,0,0,0,Cantabria,3.0,2.0,30.0,7.0,2.0,-2.0,100,1.0,1.0,1.0,1.0,581078.0,5261.12,110.44758530503012
118,ES-CE,2020-02-06,0,0,0,0,0,Ceuta,-21.0,-14.0,-20.0,-42.32352941176471,-17.0,3.0,100,1.0,1.0,1.0,1.0,84777.0,19.87,4266.582788122798
119,ES-CL,2020-02-06,0,0,0,0,0,Castilla y León,2.0,2.0,31.0,17.0,3.0,-3.0,100,1.0,1.0,1.0,1.0,2399548.0,93874.95,25.561110818168213
120,ES-CM,2020-02-06,0,0,0,0,0,Castilla - La Mancha,3.0,1.0,22.0,12.0,4.0,-2.0,100,1.0,1.0,1.0,1.0,2032863.0,79406.77,25.600625740097474
121,ES-CN,2020-02-06,0,0,0,0,0,Canarias,-4.0,-1.0,7.0,8.0,-1.0,0.0,100,1.0,1.0,1.0,1.0,2153389.0,7445.1,289.2357389423916
122,ES-CT,2020-02-06,1,1,0,0,0,Cataluña,1.0,1.0,16.0,4.0,0.0,-1.0,100,1.0,1.0,1.0,1.0,7675217.0,32109.05,239.0359415803333
123,ES-EX,2020-02-06,0,0,0,0,0,Extremadura,9.0,1.0,44.0,20.0,4.0,-3.0,100,1.0,1.0,1.0,1.0,1067710.0,41635.33,25.64432658513815
124,ES-GA,2020-02-06,0,0,0,0,0,Galicia,3.0,1.0,22.0,17.0,3.0,-2.0,100,1.0,1.0,1.0,1.0,2699499.0,29576.44,91.27193806962569
125,ES-IB,2020-02-06,0,0,0,0,0,Illes Balears,4.0,4.0,18.0,14.0,7.0,-2.0,100,1.0,1.0,1.0,1.0,1149460.0,4991.71,230.2737939503697
126,ES-MC,2020-02-06,0,0,0,0,0,Murcia,2.0,1.0,15.0,7.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,1493898.0,11313.87,132.04129091106756
127,ES-MD,2020-02-06,4,4,0,0,0,Comunidad de Madrid,-2.0,1.0,22.0,5.0,4.0,-2.0,100,1.0,1.0,1.0,1.0,6663394.0,8021.6,830.6814101924803
128,ES-ML,2020-02-06,0,0,0,0,0,Melilla,-4.0,-8.0,-4.0,12.0,-2.0,0.0,100,1.0,1.0,1.0,1.0,86487.0,14.24,6073.525280898876
129,ES-NC,2020-02-06,0,0,0,0,0,Comunidad Foral de Navarra,3.0,5.0,30.0,-28.0,3.0,-3.0,100,1.0,1.0,1.0,1.0,654214.0,9801.01,66.74965131144647
130,ES-PV,2020-02-06,0,0,0,0,0,País Vasco,1.0,1.0,18.0,8.0,1.0,-2.0,100,1.0,1.0,1.0,1.0,2207776.0,7091.91,311.30908316659406
131,ES-RI,2020-02-06,0,0,0,0,0,La Rioja,3.0,2.0,19.0,13.0,-8.0,-1.0,100,1.0,1.0,1.0,1.0,316798.0,5027.69,63.0106470367107
132,ES-VC,2020-02-06,2,2,0,0,0,Comunitat Valenciana,0.0,1.0,15.0,5.0,1.0,-1.0,100,1.0,1.0,1.0,1.0,5003769.0,23261.91,215.10568134774832
133,ES-AN,2020-02-07,2,2,0,0,0,Andalucía,4.0,2.0,38.0,22.0,3.0,-2.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381
134,ES-AR,2020-02-07,0,0,0,0,0,Aragón,5.0,7.0,84.0,14.0,2.0,-3.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103
135,ES-AS,2020-02-07,0,0,0,0,0,Principado de Asturias,-4.0,1.0,29.0,7.0,0.0,-1.0,100,1.0,1.0,1.0,1.0,1022800.0,10597.42,96.51405719505314
136,ES-CB,2020-02-07,0,0,0,0,0,Cantabria,4.0,5.0,50.0,15.0,0.0,-2.0,100,1.0,1.0,1.0,1.0,581078.0,5261.12,110.44758530503012
137,ES-CE,2020-02-07,0,0,0,0,0,Ceuta,-15.0,-12.0,-10.0,-42.94117647058823,-3.0,1.6666666666666667,100,1.0,1.0,1.0,1.0,84777.0,19.87,4266.582788122798
